User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
4174,58.94,98.81,5450,7,highly active,1
2294,40.0,96.89,13797,7,active,3
2130,61.95,98.58,15679,6,highly active,6
2095,96.29,94.2,10206,8,highly active,10
4772,47.27,95.39,3209,8,sedentary,2
4092,81.73,95.98,6051,5,sedentary,1
3979,93.34,97.22,1775,5,sedentary,1
3169,51.41,97.27,7940,8,sedentary,8
1466,101.91,98.01,2988,8,sedentary,9
2238,73.85,95.4,1748,5,active,1
1330,95.37,99.15,6156,6,highly active,10
2482,79.06,99.01,830,6,sedentary,2
3135,68.09,99.73,8124,6,highly active,5
4444,40.0,99.05,1449,6,active,2
4171,58.28,97.79,5644,8,sedentary,10
3919,75.21,96.05,3489,7,sedentary,4
4735,98.06,96.03,5847,7,sedentary,9
2685,74.11,99.65,2601,7,highly active,9
4380,68.31,98.01,1058,6,active,3
1769,81.27,96.07,10503,6,active,2
3391,76.33,98.76,509,5,sedentary,9
2515,69.42,99.25,3306,8,highly active,1
4485,84.59,99.02,4173,9,sedentary,9
3853,64.63,99.79,1520,7,sedentary,2
3433,75.17,98.1,3401,9,sedentary,10
2215,86.55,97.47,3790,7,sedentary,1
1955,64.1,98.15,1778,4,sedentary,7
3324,69.62,100.0,7137,7,sedentary,2
2184,66.63,99.52,219,6,sedentary,6
1459,81.78,98.19,1541,7,highly active,10
4385,80.24,100.0,6849,6,sedentary,6
1021,67.23,100.0,6913,6,active,10
3300,80.11,100.0,2158,7,highly active,4
1747,40.0,100.0,8043,8,active,5
3904,87.53,100.0,4441,9,sedentary,5
4632,88.44,100.0,5244,8,sedentary,6
3558,74.14,95.06,9360,8,active,4
4753,61.35,100.0,1999,6,highly active,2
3047,63.68,97.37,1889,5,active,2
4547,79.62,98.89,10416,8,sedentary,9
3747,87.14,97.71,3437,6,highly active,2
1975,79.77,100.0,672,9,highly active,2
1189,93.73,99.41,3741,5,sedentary,3
4005,86.03,95.91,3750,6,sedentary,3
3734,85.49,93.73,8590,8,highly active,7
4005,76.3,98.38,5986,7,sedentary,8
1562,82.57,95.55,10291,9,active,1
2899,77.96,95.01,2677,7,sedentary,6
4638,90.76,94.86,6852,6,sedentary,4
2267,70.81,97.22,15183,9,highly active,4
3879,70.01,99.87,503,7,highly active,10
2528,92.67,95.08,8628,6,highly active,2
4202,68.1,100.0,8809,7,sedentary,4
4556,60.83,96.92,11060,7,sedentary,1
4890,63.78,95.87,2194,6,highly active,6
1646,86.23,100.0,3771,7,active,5
3888,61.68,99.63,2583,6,sedentary,8
2297,77.31,95.86,4130,6,active,2
3435,91.92,100.0,13213,5,active,1
1600,84.55,98.06,11089,6,active,8
3363,92.85,98.27,4116,6,active,1
4060,62.48,99.98,12862,5,sedentary,6
3824,78.18,97.92,2594,7,highly active,10
4417,82.01,97.09,548,7,highly active,5
3612,69.24,100.0,4376,6,active,2
3945,75.21,100.0,3124,4,active,1
2363,89.12,98.59,8698,5,active,2
3139,43.74,95.37,139,6,sedentary,3
2390,73.16,96.82,12464,7,sedentary,5
4003,59.55,92.95,3773,4,highly active,2
2478,103.59,100.0,4441,3,active,7
3556,81.28,100.0,19406,7,active,2
1775,76.85,96.88,3557,5,highly active,1
1034,87.21,97.61,12948,6,sedentary,5
3253,79.84,97.25,1898,6,active,4
4152,106.04,94.81,712,7,sedentary,10
2955,88.77,94.74,7070,6,highly active,7
4943,96.06,96.48,7288,7,highly active,1
4459,78.05,99.5,6568,9,sedentary,9
4073,96.09,100.0,4087,7,highly active,2
4461,59.07,98.92,3945,6,active,9
3613,56.23,98.58,1129,5,highly active,8
2129,90.92,98.67,2126,6,sedentary,4
4843,86.96,98.98,4678,7,highly active,8
4893,66.12,95.6,1095,8,highly active,2
2500,40.0,95.11,10976,8,active,4
1702,91.5,97.93,81,7,active,6
3449,44.44,100.0,2716,7,active,6
2579,53.32,95.17,18510,7,highly active,2
1161,75.21,99.15,5964,7,sedentary,2
1201,78.45,98.51,2446,7,active,6
2981,75.21,98.28,3039,5,sedentary,6
1995,79.86,98.24,2900,5,active,9
3317,76.96,98.62,1392,5,sedentary,5
4934,68.49,97.94,1095,7,active,9
1815,71.65,96.8,4586,6,sedentary,9
4342,65.22,97.55,2205,10,highly active,4
1455,76.74,94.3,674,7,highly active,10
4533,48.69,99.05,1708,9,sedentary,8
4798,79.73,99.0,5148,9,highly active,10
